name,header_url,city,county,postal_cod,latitude,longitude,FORMAL_EN,POP_EST,POP_YEAR,GDP_YEAR,ECONOMY,INCOME_GRP,CONTINENT,REGION_UN,SUBREGION,icon_url
Urban Workshop,http://fablabs.io.s3.amazonaws.com/2020/01/25/02/45/05/ad0368e5-fb61-4f4d-9265-bee37e977938/20190617_Urban Workshop-066.jpg,Costa Mesa,California,"92626",33.666493899999999,-117.878668500000003,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
Fablab Centro TICS,http://fablabs.io.s3.amazonaws.com/2020/01/27/19/23/06/bd86306b-e611-4d14-a5b6-acdb0a89f79e/1_Mesa de trabajo 1 (1).png,Guatemala,,,14.625873900000000,-90.513232299999999,Republic of Guatemala,"15460732","2017","2016",6. Developing region,4. Lower middle income,North America,Americas,Central America,
FabLab Centro de Innovaci�n UC,http://fablabs.io.s3.amazonaws.com/2021/07/06/17/01/00/c37288e3-11f0-418a-a849-859b0bc1e6de/fondo3fablab.jpg,Macul,Santiago,"7820436",-33.497820200000000,-70.615261700000005,Republic of Chile,"17789267","2017","2016",5. Emerging region: G20,3. Upper middle income,South America,Americas,South America,
FabLab La Salle Chihuahua,http://fablabs.io.s3.amazonaws.com/2020/02/04/18/04/59/d6372b01-1b3e-4e1a-a751-63eba10978f0/LAB.jpeg,Chihuahua,Chihuahua,"31625",28.609655300000000,-106.129412799999997,United Mexican States,"124574795","2017","2016",4. Emerging region: MIKT,3. Upper middle income,North America,Americas,Central America,
Fablab Catania,http://fablabs.io.s3.amazonaws.com/2018/05/13/10/41/16/98525907-261c-4de1-8f5b-e0a683bde6e8/2a.jpg,Catania,Italy,"95123",37.513061899999997,15.076702299999999,Italian Republic,"62137802","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
FabLab L'Aquila,http://fablabs.io.s3.amazonaws.com/2020/02/07/11/36/45/11caf6d0-d52f-45e0-89b5-75b5d822ed63/fablabaq.jpg,L'Aquila,L'Aquila,"67100",42.354660068608602,13.413749764591200,Italian Republic,"62137802","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
IICA FabLab,http://fablabs.io.s3.amazonaws.com/2020/05/05/16/16/05/aabbe9f7-6138-4a30-864a-b949aa462acb/WhatsApp Image 2020-02-28 at 09.01.37 (1)(1).jpeg,San Jose,San Jose,"11101",9.968883699999999,-84.017639700000004,Republic of Costa Rica,"4930258","2017","2016",5. Emerging region: G20,3. Upper middle income,North America,Americas,Central America,
Panchkula,,Panchkula,Haryana,"134113",30.678025000000002,76.843945000000005,Republic of India,"1281935911","2017","2016",3. Emerging region: BRIC,4. Lower middle income,Asia,Asia,Southern Asia,
STREAM FAB LAB,,??????,,,32.879825500000003,13.214208299999999,Libya,"6653210","2017","2016",6. Developing region,3. Upper middle income,Africa,Africa,Northern Africa,
Garage Academy at NIT,,Michigan City,IN,"46360",41.712864099999997,-86.900822099999999,United States of America,"326625791","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
MarsHackLab,,Marsac-sur-l'Isle,Aquitaine,"24430",45.183965399999998,0.658428900000000,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
Seoul Foreign School FabLab,http://fablabs.io.s3.amazonaws.com/2020/02/14/02/37/44/bb0b453c-49b3-44c0-b4be-b6c81d65c8a0/SFS.DesignLab.lowres.jpg,Seoul,,,37.569928085622003,126.936062366350995,Republic of Korea,"51181299","2017","2016",4. Emerging region: MIKT,1. High income: OECD,Asia,Asia,Eastern Asia,
Science Camp (the Iraqi maker space),http://fablabs.io.s3.amazonaws.com/2020/02/14/15/38/06/9608c3dc-3444-4495-a2e2-102bea4b0fd2/SC-new-small.jpg,Basra,Basra,"61001",30.537029400000002,47.828158999999999,Republic of Iraq,"39192111","2017","2016",6. Developing region,4. Lower middle income,Asia,Asia,Western Asia,
Microfactory Fab Lab,http://fablabs.io.s3.amazonaws.com/2020/02/18/14/16/39/d01d05ec-f715-4446-9e1c-a0aaf404033e/micro fablab.jpg,Anderlecht,Bruxelles,"1070",50.844847899999998,4.324498500000000,Kingdom of Belgium,"11491346","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
Makerspace 56,,Vannes,,"56000",47.642311599999999,-2.754169199999980,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
Cityfab 3,http://fablabs.io.s3.amazonaws.com/2020/02/18/14/47/14/79106810-3cae-4ae9-97a5-cc7f541c159e/cityfab 3 photo.jpeg,Anderlecht,,"1070",50.834214199999998,4.327495800000001,Kingdom of Belgium,"11491346","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
USC Maker Space,http://fablabs.io.s3.amazonaws.com/2021/05/12/10/27/26/0b8ecff9-c2ba-4fb4-a0d6-80474f3a2f4d/K1_Launch_HR-100v1.jpg,Sippy Downs,QLD,"4556",-26.718022501587001,153.061387941772011,Commonwealth of Australia,"23232413","2017","2016",2. Developed region: nonG7,1. High income: OECD,Oceania,Oceania,Australia and New Zealand,
FabLab L�neburg,,L�neburg,Niedersachsen,"21335",53.231182500000003,10.404407600000001,Federal Republic of Germany,"80594017","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
FABLAB 2300,,Turnhout,,"2300",51.320150499999997,4.951868600000000,Kingdom of Belgium,"11491346","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
FabLab Materia,,Culiac�n Rosales,Sinaloa,"80010",24.829412500000000,-107.385317400000005,United Mexican States,"124574795","2017","2016",4. Emerging region: MIKT,3. Upper middle income,North America,Americas,Central America,
PiMaker FabLab Oviedo,http://fablabs.io.s3.amazonaws.com/2020/03/09/20/15/36/a20f5333-49dc-4fb1-9ffa-22bac5d4236b/FotoPimaker.jpeg,Oviedo,Asturias,"33006",43.357059399999997,-5.871443400000000,Kingdom of Spain,"48958159","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
Fab'lab l'Atelier,http://fablabs.io.s3.amazonaws.com/2020/03/10/15/49/06/476c034c-254c-47d8-b215-f0c553de0928/couverture fablab.jpg,Bar-sur-Seine,,"10110",48.114218999999999,4.373362500000000,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
FabLab Jazan,http://fablabs.io.s3.amazonaws.com/2020/03/15/09/17/46/fc283b83-c475-4d74-82b6-97e38427749d/FabLAb Jazan.jpeg,Jizan,,"45142",16.960304099999998,42.555041699999997,Kingdom of Saudi Arabia,"28571770","2017","2016",2. Developed region: nonG7,2. High income: nonOECD,Asia,Asia,Western Asia,
Garagem Fab Lab,http://fablabs.io.s3.amazonaws.com/2018/10/25/17/46/43/4db289b1-54c4-4d41-b4d4-219084dbd762/17264590_625531714309535_7072778009016165720_n.png,S�o Paulo,SP,01137-020,-23.524724200000001,-46.653235500000001,Federative Republic of Brazil,"207353391","2017","2016",3. Emerging region: BRIC,3. Upper middle income,South America,Americas,South America,
ZapLab,http://fablabs.io.s3.amazonaws.com/2021/01/05/22/29/59/2ecc2c9c-f680-4782-a88c-11d6c5007d3f/Opening-1.jpg,Paramaribo,,,5.833524000000000,-55.151133999999999,Republic of Suriname,"591919","2017","2016",6. Developing region,3. Upper middle income,South America,Americas,South America,
FabLab OWL,http://fablabs.io.s3.amazonaws.com/2020/03/26/14/21/11/9e8c9d3d-6de5-419c-a84d-cbb7467cb046/csm_fab_lab_owl_eb466c91fa.jpg,Detmold,NRW,"32756",51.936549200000002,8.867350800000002,Federal Republic of Germany,"80594017","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
PreLab Workshop,http://fablabs.io.s3.amazonaws.com/2020/03/27/11/40/58/fce945ba-3168-41a4-a346-c5d06a817ddb/48370715_2275822332430652_488986794063298560_o.jpg,Athina,Attica,106 82,37.987122999999997,23.731863400000002,Hellenic Republic,"10768477","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Southern Europe,./0.png
Everyone's Warehouse,http://fablabs.io.s3.amazonaws.com/2020/04/01/16/49/03/c9a19fb7-2470-4bb4-93db-ec485a0f1053/LearningLab2.jpg,Barking,Essex,IG11 0HQ,51.524868341260600,0.113991688360611,United Kingdom of Great Britain and Northern Ireland,"64769452","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Northern Europe,./0.png
Seed Lab,http://fablabs.io.s3.amazonaws.com/2021/04/26/09/52/23/1bbae1c8-66b2-4eb8-a814-f3446fa15dab/1.jpg,Busan,"Nam-gu, Busan, Republic of Korea",608-020,35.135935600000003,129.100334400000008,Republic of Korea,"51181299","2017","2016",4. Emerging region: MIKT,1. High income: OECD,Asia,Asia,Eastern Asia,
Fab Lab UCY,,Nicosia,Cyprus,"1010",35.174049500000002,33.361355900000000,Republic of Cyprus,"1221549","2017","2016",6. Developing region,2. High income: nonOECD,Asia,Asia,Western Asia,
ACTMC,,Inuvik,Northwest Territories,X0E 0T0,68.356170800000001,-133.727911400000011,Canada,"35623680","2017","2016",1. Developed region: G7,1. High income: OECD,North America,Americas,Northern America,
LabHIdouille,http://fablabs.io.s3.amazonaws.com/2020/04/09/14/33/52/eb69b392-d6a7-45f8-bbe5-38b19ce49480/BANDEAU WP.jpg,Mulhouse,Alsace,"68100",47.750838999999999,7.335888000000000,French Republic,"67106161","2017","2016",1. Developed region: G7,1. High income: OECD,Europe,Europe,Western Europe,./0.png
FabLab Budapest,,Budapest,,"1067",47.507753000000001,19.062310100000001,Republic of Hungary,"9850845","2017","2016",2. Developed region: nonG7,1. High income: OECD,Europe,Europe,Eastern Europe,./0.png
IoBM Fab Lab,http://fablabs.io.s3.amazonaws.com/2020/04/23/10/14/33/50f94010-f135-46de-8051-0f4c8aa14f0f/IMG_20200107_114456.jpg,Karachi,Sindh,,24.812519699999999,67.116845100000006,Islamic Republic of Pakistan,"204924861","2017","2016",5. Emerging region: G20,4. Lower middle income,Asia,Asia,Southern Asia,
Hangar159,http://fablabs.io.s3.amazonaws.com/2020/04/27/14/28/22/60c886cb-1f51-4667-acaa-4bac843f31f6/awawaw.jpg,????,Kyiv,"02000",50.441199950694099,30.439747517860400,Ukraine,"44033874","2017","2016",6. Developing region,4. Lower middle income,Europe,Europe,Eastern Europe,./0.png
